ID,?��,distance,angle,x,y
3,-5,0.125,137.2159938,120.3376274,23.66768692
3,-5,0.126,137.4443597,120.3383101,23.66695633
3,-5,0.127,136.30058,120.3389966,23.66622938
3,-5,0.128,139.1078478,120.3396707,23.66549104
3,-5,0.129,137.7369419,120.3403345,23.66474317
3,-5,0.13,138.3218896,120.3410023,23.66399885
3,-5,0.131,140.4585248,120.3416521,23.6632388
3,-5,0.132,141.7276353,120.3422798,23.6624604
3,-5,0.133,143.9124895,120.3428811,23.66166148
3,-5,0.134,146.3724055,120.3434523,23.66084082
3,-5,0.135,148.4997947,120.3439892,23.65999741
3,-5,0.136,150.7294453,120.344492,23.65913319
3,-5,0.137,152.0361594,120.3449647,23.65825205
3,-5,0.138,156.1384378,120.3454126,23.6573583
3,-5,0.139,163.4341831,120.3457866,23.65643229
3,-5,0.14,171.3408765,120.3460071,23.65545823
3,-5,0.141,176.7113044,120.3461022,23.65446335
3,-5,0.142,181.4796808,120.3460991,23.65346371
3,-5,0.143,184.0061311,120.3460144,23.65246752
3,-5,0.144,188.3502284,120.3459036,23.65147425
3,-5,0.145,188.5305849,120.3457554,23.65048529
3,-5,0.146,186.9408239,120.3456201,23.64949455
3,-5,0.147,183.1683632,120.3455385,23.64849816
3,-5,0.148,172.4186164,120.3455594,23.64749957
3,-5,0.149,160.6246709,120.34576,23.64652228
3,-5,0.15,143.0769553,120.3461967,23.64562837
3,-5,0.151,131.4908037,120.3468802,23.64490486
3,-5,0.152,115.1145314,120.3477365,23.64439568
3,-5,0.153,105.5980391,120.3486743,23.64405341
3,-5,0.154,99.78971843,120.3496486,23.64383094
3,-5,0.155,96.45391404,120.3506381,23.64368808
3,-5,0.156,93.75564996,120.351634,23.64359872
3,-5,0.157,91.34397084,120.3526329,23.64355429
3,-5,0.158,87.2605644,120.3536325,23.64356003
3,-5,0.159,86.62845746,120.3546317,23.64359262
3,-5,0.16,84.46628382,120.3556287,23.64366913
3,-5,0.161,81.51023196,120.356621,23.64379147
3,-5,0.162,78.23206215,120.357612,23.64388969
6,-3,0,75.54287148,120.2250716,23.60501083
6,-3,0.001,67.9349493,120.2260154,23.6053384
6,-3,0.002,60.04725361,120.2269097,23.60578352
6,-3,0.003,52.79204518,120.227746,23.60633025
6,-3,0.004,48.08079813,120.228514,23.60696993
6,-3,0.005,41.7951876,120.2292155,23.60768197
6,-3,0.006,37.28936655,120.229848,23.60845602
