ID,下陷??Shape_Leng,angle,x,y,
1,-4,0.076,60.45771131,120.2052737,23.34281766
1,-4,0.077,64.89389305,120.2061621,23.34327515
1,-4,0.078,75.10057288,120.2071136,23.34357916
1,-4,0.079,84.7698797,120.2081026,23.3437191
1,-4,0.08,93.83005104,120.2091013,23.34369524
1,-4,0.081,102.0312455,120.2100852,23.34352045
1,-4,0.082,109.7824457,120.2110359,23.34321198
1,-4,0.083,117.6677983,120.2119392,23.34278443
1,-4,0.084,125.3957836,120.2127828,23.34224919
1,-4,0.085,137.94582,120.2135378,23.34159554
1,-4,0.086,156.6333079,120.2141338,23.34079737
1,-4,0.087,172.6657985,120.2144362,23.33984889
1,-4,0.088,181.3618394,120.2144967,23.3388523
1,-4,0.089,186.9336698,120.2144223,23.33785572
1,-4,0.09,191.9031879,120.2142422,23.33687253
1,-4,0.091,197.2170973,120.2139796,23.33590806
1,-4,0.092,201.4723745,120.2136335,23.3349701
1,-4,0.093,207.0869833,120.2131986,23.33406995
1,-4,0.094,211.9810413,120.2126908,23.33320886
1,-4,0.095,217.0656355,120.2121154,23.33239161
1,-4,0.096,221.3590172,120.2114794,23.33162009
1,-4,0.097,223.1683786,120.2108035,23.33088338
1,-4,0.098,227.2989038,120.2101054,23.33016765
1,-4,0.099,227.3475997,120.2093684,23.32949191
1,-4,0.1,229.8643292,120.2086175,23.32883171
1,-4,0.101,230.4323144,120.2078522,23.32818815
1,-4,0.102,229.3626349,120.2070931,23.32753731
1,-4,0.103,227.1602994,120.2063489,23.32686955
1,-4,0.104,225.429169,120.2056234,23.32618149
1,-4,0.105,223.7989312,120.2049233,23.3254676
1,-4,0.106,220.010451,120.2042664,23.32471375
1,-4,0.107,215.1652784,120.2036536,23.323924
1,-4,0.108,212.0398198,120.2030935,23.32309578
1,-4,0.109,215.5654075,120.202586,23.32223479
1,-4,0.11,207.1448278,120.2020656,23.32138403
1,-4,0.111,205.2591109,120.2016363,23.32048086
1,-4,0.112,200.3849987,120.2012577,23.31955538
1,-4,0.113,198.5266302,120.2009123,23.31861692
1,-4,0.114,196.4576429,120.2006063,23.31766498
1,-4,0.115,195.1823269,120.2003303,23.31670384
1,-4,0.116,193.8431909,120.2000788,23.31573603
1,-4,0.117,193.186794,120.1998446,23.31476384
1,-4,0.118,192.439235,120.1996242,23.31378844
1,-4,0.119,192.2441732,120.199412,23.31281123
1,-4,0.12,192.0512635,120.1991984,23.31183431
1,-4,0.121,191.4266767,120.1990506,23.31084744
1,-4,0.122,193.6520629,120.1988213,23.30987412
1,-4,0.123,194.5377652,120.1985783,23.30890411
1,-4,0.124,196.1863443,120.1983108,23.30794061
1,-4,0.125,198.627686,120.1980102,23.30698697
1,-4,0.126,201.5676271,120.1976603,23.30605033
1,-4,0.127,205.6617498,120.1972472,23.30513989
1,-4,0.128,210.9107146,120.1967615,23.30426627
1,-4,0.129,214.3731765,120.19622,23.30342587
1,-4,0.13,218.8467297,120.1956245,23.30262277
1,-4,0.131,222.5961308,120.1949798,23.30185865
1,-4,0.132,224.9691778,120.1942878,23.30113695
1,-4,0.133,229.8115228,120.1935511,23.30046115
1,-4,0.134,232.3568652,120.1927727,23.29983369
2,-4,0,261.8500031,120.2057903,23.37466004
